a,e,f,h,i,j,o,p,u,w
26,30,18,25,34,54,22,8,23,14
27,23,17,30,44,68,19,14,18,12
29,28,17,23,24,54,13,6,21,23
13,25,14,31,42,47,18,14,24,14
22,27,18,32,31,43,24,12,27,9
